Employee Number,Attrition,Business Travel,Age Group,Department,Education Field,Employee Count,Gender,Job Role,Marital Status,Over Time,Age,Distance From Home,Education,Environment Satisfaction,Job Level,Job Satisfaction,Monthly Income,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
1,Yes,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Female,Sales Executive,Single,Yes,41,1,Associates Degree,2,2,4,5993,8,1,6,4,0,5
2,No,Travel_Frequently,45 - 54,R&D,Life Sciences,1,Male,Research Scientist,Married,No,49,8,High School,3,2,2,5130,10,3,10,7,1,7
3,Yes,Travel_Rarely,35 - 44,R&D,Other,1,Male,Laboratory Technician,Single,Yes,37,2,Associates Degree,4,1,3,2090,7,3,0,0,0,0
4,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Female,Research Scientist,Married,Yes,33,3,Master's Degree,4,1,3,2909,8,3,8,7,3,0
5,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Married,No,27,2,High School,1,1,2,3468,6,3,2,2,2,2
6,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Single,No,32,2,Associates Degree,4,1,4,3068,8,2,7,7,3,6
7,No,Travel_Rarely,Over 55,R&D,Medical,1,Female,Laboratory Technician,Married,Yes,59,3,Bachelor's Degree,3,1,1,2670,12,2,1,0,0,0
8,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Divorced,No,30,24,High School,4,1,3,2693,1,3,1,0,0,0
9,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1,Male,Manufacturing Director,Single,No,38,23,Bachelor's Degree,4,3,3,9526,10,3,9,7,1,8
10,No,Travel_Rarely,35 - 44,R&D,Medical,1,Male,Healthcare Representative,Married,No,36,27,Bachelor's Degree,3,2,3,5237,17,2,7,7,7,7
11,No,Travel_Rarely,35 - 44,R&D,Medical,1,Male,Laboratory Technician,Married,No,35,16,Bachelor's Degree,1,1,2,2426,6,3,5,4,0,3
12,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Laboratory Technician,Single,Yes,29,15,Associates Degree,4,2,3,4193,10,3,9,5,0,8
13,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Divorced,No,31,26,High School,1,1,3,2911,5,2,5,2,4,3
14,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Divorced,No,34,19,Associates Degree,2,1,4,2661,3,3,2,2,1,2
15,Yes,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Laboratory Technician,Single,Yes,28,24,Bachelor's Degree,3,1,3,2028,6,3,4,2,0,3
16,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Manufacturing Director,Divorced,No,29,21,Master's Degree,2,3,1,9980,10,3,10,9,8,8
17,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Male,Research Scientist,Divorced,Yes,32,5,Associates Degree,1,1,2,3298,7,2,6,2,0,5
18,No,Non-Travel,Under 25,R&D,Medical,1,Male,Laboratory Technician,Divorced,Yes,22,16,Associates Degree,4,1,4,2935,1,2,1,0,0,0
19,No,Travel_Rarely,45 - 54,Sales,Life Sciences,1,Female,Manager,Married,No,53,2,Master's Degree,1,4,4,15427,31,3,25,8,3,7
20,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1,Male,Research Scientist,Single,Yes,38,2,Bachelor's Degree,4,1,4,3944,6,3,3,2,1,2
21,No,Non-Travel,Under 25,R&D,Other,1,Female,Manufacturing Director,Divorced,No,24,11,Associates Degree,1,2,3,4011,5,2,4,2,1,3
22,Yes,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Male,Sales Representative,Single,No,36,9,Master's Degree,3,1,1,3407,10,3,5,3,0,3
23,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1,Female,Research Director,Single,No,34,7,Master's Degree,1,3,2,11994,13,3,12,6,2,11
24,No,Travel_Rarely,Under 25,R&D,Life Sciences,1,Male,Research Scientist,Single,No,21,15,Associates Degree,3,1,4,1232,0,3,0,0,0,0
25,Yes,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Research Scientist,Single,No,34,6,High School,2,1,1,2960,8,3,4,2,1,3
26,No,Travel_Rarely,45 - 54,R&D,Other,1,Female,Manager,Divorced,No,53,5,Bachelor's Degree,3,5,3,19094,26,2,14,13,4,8
27,Yes,Travel_Frequently,25 - 34,R&D,Life Sciences,1,Female,Research Scientist,Single,Yes,32,16,High School,2,1,1,3919,10,3,10,2,6,7
28,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Male,Sales Executive,Married,No,42,8,Master's Degree,3,2,2,6825,10,3,9,7,4,2
29,No,Travel_Rarely,35 - 44,R&D,Medical,1,Female,Healthcare Representative,Married,No,44,7,Master's Degree,1,3,4,10248,24,3,22,6,5,17
30,No,Travel_Rarely,45 - 54,Sales,Marketing,1,Female,Manager,Single,No,46,2,Master's Degree,2,5,1,18947,22,2,2,2,2,1
31,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Single,No,33,2,Bachelor's Degree,3,1,4,2496,7,3,1,1,0,0
32,No,Travel_Rarely,35 - 44,R&D,Other,1,Male,Healthcare Representative,Married,Yes,44,10,Master's Degree,4,2,4,6465,9,4,4,2,1,3
33,No,Travel_Rarely,25 - 34,R&D,Medical,1,Male,Laboratory Technician,Single,No,30,9,Associates Degree,4,1,3,2206,10,3,10,0,1,8
34,Yes,Travel_Rarely,35 - 44,Sales,Technical Degree,1,Male,Sales Representative,Married,No,39,5,Bachelor's Degree,4,2,4,2086,19,4,1,0,0,0
35,Yes,Travel_Rarely,Under 25,R&D,Medical,1,Male,Research Scientist,Married,Yes,24,1,Bachelor's Degree,2,1,4,2293,6,2,2,0,2,0
36,No,Travel_Rarely,35 - 44,R&D,Medical,1,Female,Research Scientist,Divorced,No,43,2,Associates Degree,4,1,3,2645,6,2,5,3,1,4
37,Yes,Travel_Rarely,45 - 54,Sales,Marketing,1,Male,Sales Representative,Married,Yes,50,3,Associates Degree,1,1,3,2683,3,3,3,2,0,2
38,No,Travel_Rarely,35 - 44,Sales,Marketing,1,Female,Sales Representative,Married,No,35,2,Bachelor's Degree,4,1,4,2014,2,3,2,2,2,2
